Year,Month,District,PM2.5_mean,PM10_mean,O3_mean,NO2_mean,SO2_mean,CO_mean,AQI_Good_Rate_pct
2025,2,Chongming,34.0,97.0,106.0,18.1,5.1,0.8,89.3
2025,2,Fengxian,39.0,105.0,105.0,27.1,4.9,0.8,92.9
2025,2,Hongkou,40.0,104.0,98.0,31.8,8.0,0.9,89.3
2025,2,Huangpu,40.0,107.0,94.0,28.6,5.2,1.0,89.3
2025,2,Jiading,42.0,107.0,93.0,34.6,6.5,0.9,89.3
2025,2,Jing'an,41.0,104.0,99.0,29.1,6.1,0.9,89.3
2025,2,Jinshan,39.0,100.0,107.0,24.0,5.5,0.9,92.9
2025,2,Minhang,39.0,105.0,100.0,31.4,4.8,0.9,92.9
2025,2,Pudong,38.0,104.0,100.0,32.0,6.7,1.1,89.3
2025,2,Putuo,43.0,104.0,98.0,33.9,6.5,1.0,89.3
2025,2,Qingpu,43.0,109.0,104.0,31.2,5.2,0.8,92.9
2025,2,Songjiang,41.0,108.0,106.0,28.6,5.6,0.9,92.9
2025,2,Xuhui,41.0,106.0,92.0,30.4,4.7,0.9,89.3
2025,2,Yangpu,39.0,102.0,97.0,34.3,6.4,1.0,89.3
2025,1,Baoshan,44.0,119.0,93.0,51.3,8.5,1.0,80.6
2025,1,Changning,39.0,110.0,98.0,45.7,7.2,0.8,90.3
2025,1,Chongming,39.0,103.0,101.0,25.0,5.9,0.8,96.8
2025,1,Fengxian,41.0,114.0,106.0,38.8,6.4,0.8,93.5
2025,1,Hongkou,42.0,110.0,90.0,46.7,8.4,1.1,83.9
2025,1,Huangpu,41.0,110.0,94.0,44.2,6.5,0.9,87.1
2025,1,Jiading,45.0,110.0,93.0,49.3,7.9,1.0,80.6
2025,1,Jing'an,42.0,108.0,94.0,42.6,7.6,0.9,90.3
2025,1,Jinshan,46.0,107.0,110.0,35.8,6.8,0.8,93.5
2025,1,Minhang,43.0,112.0,104.0,45.8,6.3,1.0,93.5
2025,1,Pudong,41.0,115.0,100.0,46.6,7.5,1.0,87.1
2025,1,Putuo,45.0,106.0,92.0,47.6,7.5,1.2,83.9
2025,1,Qingpu,47.0,111.0,107.0,46.8,7.4,0.8,87.1
2025,1,Songjiang,46.0,112.0,111.0,43.4,6.2,0.9,90.3
2025,1,Xuhui,43.0,110.0,92.0,46.4,5.4,0.9,90.3
2025,1,Yangpu,41.0,114.0,94.0,49.5,7.9,0.9,87.1
2024,12,Baoshan,44.0,124.0,79.0,50.1,6.3,1.0,87.1
2024,12,Changning,42.0,114.0,82.0,49.9,6.6,1.0,87.1
2024,12,Chongming,42.0,113.0,92.0,25.0,5.9,0.8,90.3
2024,12,Fengxian,42.0,118.0,84.0,45.6,6.3,0.8,90.3
2024,12,Hongkou,44.0,115.0,76.0,49.4,8.2,0.9,80.6
2024,12,Huangpu,43.0,117.0,78.0,48.0,6.7,0.9,87.1
2024,12,Jiading,47.0,114.0,74.0,50.7,8.0,0.9,80.6
2024,12,Jing'an,44.0,116.0,85.0,45.6,6.9,0.9,87.1
2024,12,Jinshan,47.0,120.0,83.0,44.8,7.2,0.8,90.3
2024,12,Minhang,45.0,116.0,81.0,50.1,6.3,1.0,87.1
2024,12,Pudong,42.0,118.0,90.0,48.6,7.5,0.9,87.1
2024,12,Putuo,44.0,113.0,78.0,51.0,7.2,1.1,87.1
2024,12,Qingpu,50.0,115.0,79.0,51.2,7.0,0.8,83.9
2024,12,Songjiang,50.0,119.0,86.0,45.1,5.6,1.0,90.3
2024,12,Xuhui,46.0,115.0,75.0,51.1,5.8,1.0,87.1
2024,12,Yangpu,42.0,117.0,83.0,52.4,8.0,1.0,80.6
2024,11,Baoshan,23.0,82.0,104.0,34.4,5.9,0.9,100.0
2024,11,Changning,22.0,78.0,110.0,33.9,5.9,0.9,100.0
2024,11,Chongming,20.0,73.0,110.0,14.3,5.3,0.6,100.0
2024,11,Fengxian,22.0,73.0,107.0,27.4,4.8,0.7,100.0
2024,11,Hongkou,24.0,76.0,96.0,31.9,7.4,0.9,100.0
2024,11,Huangpu,23.0,78.0,105.0,29.4,5.7,0.8,100.0
2024,11,Jiading,26.0,76.0,108.0,36.0,6.4,0.8,100.0
2024,11,Jing'an,24.0,78.0,109.0,28.8,5.2,0.7,100.0
2024,11,Jinshan,25.0,81.0,117.0,30.0,5.9,0.8,100.0
2024,11,Minhang,23.0,76.0,102.0,34.4,5.9,0.9,100.0
2024,11,Pudong,22.0,79.0,107.0,32.2,6.7,0.8,100.0
2024,11,Putuo,22.0,79.0,102.0,33.9,6.1,0.9,100.0
2024,11,Qingpu,28.0,79.0,112.0,35.9,6.2,0.7,100.0
2024,11,Songjiang,27.0,80.0,110.0,32.1,5.1,0.9,100.0
2024,11,Xuhui,24.0,76.0,103.0,34.9,4.9,0.7,100.0
2024,11,Yangpu,23.0,77.0,101.0,34.4,6.9,0.9,100.0
2024,10,Baoshan,19.0,73.0,119.0,29.3,5.1,0.9,100.0
2024,10,Changning,19.0,70.0,116.0,27.6,4.9,1.0,100.0
2024,10,Chongming,16.0,63.0,126.0,9.3,4.6,0.6,100.0
2024,10,Fengxian,22.0,67.0,130.0,25.0,4.9,0.8,96.6
2024,10,Hongkou,20.0,68.0,115.0,24.7,6.9,0.8,100.0
2024,10,Huangpu,21.0,70.0,123.0,26.0,5.9,0.8,100.0
2024,10,Jiading,22.0,73.0,119.0,27.8,6.2,0.8,100.0
2024,10,Jing'an,20.0,69.0,128.0,25.3,4.5,0.8,96.8
2024,10,Jinshan,23.0,77.0,130.0,25.1,5.8,0.8,93.3
2024,10,Minhang,21.0,70.0,132.0,29.3,5.1,0.9,100.0
2024,10,Pudong,19.0,71.0,128.0,26.6,6.5,0.9,100.0
2024,10,Putuo,19.0,72.0,120.0,28.5,5.6,0.8,100.0
2024,10,Qingpu,26.0,74.0,127.0,32.2,5.4,0.8,96.8
2024,10,Songjiang,23.0,74.0,134.0,27.6,4.1,0.8,93.5
2024,10,Xuhui,21.0,69.0,126.0,33.9,4.7,0.8,100.0
2024,10,Yangpu,19.0,69.0,124.0,29.0,6.3,1.0,100.0
2024,9,Baoshan,13.0,66.0,125.0,19.6,5.2,0.7,93.3
2024,9,Changning,13.0,63.0,132.0,18.9,5.8,0.8,93.3
2024,9,Chongming,13.0,59.0,132.0,6.4,4.8,0.6,96.4
2024,9,Fengxian,15.0,61.0,129.0,15.7,5.4,0.6,100.0
2024,9,Hongkou,14.0,62.0,120.0,17.4,7.4,0.6,93.3
2024,9,Huangpu,14.0,63.0,126.0,18.0,5.4,0.6,93.3
2024,9,Jiading,16.0,64.0,126.0,20.6,5.9,0.6,93.3
2024,9,Jing'an,14.0,63.0,131.0,16.9,4.2,0.6,93.3
2024,9,Jinshan,15.0,65.0,130.0,17.2,5.4,0.7,93.3
2024,9,Minhang,15.0,63.0,129.0,19.6,5.2,0.7,96.7
2024,9,Pudong,14.0,63.0,128.0,18.3,6.2,0.7,100.0
2024,9,Putuo,13.0,64.0,122.0,19.0,5.0,0.7,93.3
2024,9,Qingpu,18.0,66.0,131.0,20.8,5.7,0.6,93.3
2024,9,Songjiang,15.0,66.0,128.0,18.0,4.4,0.7,93.3
2024,9,Xuhui,14.0,65.0,119.0,23.9,4.3,0.6,93.3
2024,9,Yangpu,12.0,62.0,125.0,18.7,6.4,0.6,96.7
2024,8,Baoshan,19.0,65.0,201.0,17.8,4.7,0.8,74.2
2024,8,Changning,17.0,66.0,188.0,19.8,6.0,0.8,67.7
2024,8,Chongming,18.0,62.0,170.0,10.6,4.6,0.6,77.4
2024,8,Fengxian,19.0,62.0,177.0,15.1,5.3,0.6,80.6
2024,8,Hongkou,19.0,65.0,177.0,16.9,6.6,0.8,80.6
2024,8,Huangpu,20.0,68.0,177.0,17.6,5.4,0.7,74.2
2024,8,Jiading,22.0,66.0,190.0,22.5,5.8,0.6,67.7
2024,8,Jing'an,19.0,67.0,193.0,15.5,4.3,0.7,71.0
2024,8,Jinshan,19.0,66.0,178.0,16.0,5.8,0.7,71.0
2024,8,Minhang,20.0,66.0,181.0,17.8,4.7,0.8,71.0
2024,8,Pudong,20.0,67.0,171.0,17.8,5.9,0.8,83.9
2024,8,Putuo,17.0,65.0,192.0,18.6,5.5,0.6,67.7
2024,8,Qingpu,21.0,69.0,185.0,19.8,5.6,0.6,71.0
2024,8,Songjiang,20.0,68.0,183.0,18.3,4.2,0.7,71.0
2024,8,Xuhui,20.0,68.0,172.0,22.2,3.9,0.7,77.4
2024,8,Yangpu,18.0,65.0,184.0,17.9,6.0,0.8,74.2
2024,7,Baoshan,17.0,62.0,164.0,19.0,4.5,0.6,80.6
2024,7,Changning,16.0,61.0,172.0,21.9,6.6,0.8,77.4
2024,7,Chongming,17.0,61.0,168.0,18.7,4.6,0.5,74.2
2024,7,Fengxian,18.0,61.0,181.0,17.4,4.2,0.6,77.4
2024,7,Hongkou,19.0,59.0,152.0,18.5,6.2,0.6,93.5
2024,7,Huangpu,19.0,62.0,170.0,19.7,6.4,0.6,83.9
2024,7,Jiading,21.0,63.0,158.0,24.9,5.1,0.6,96.8
2024,7,Jing'an,19.0,60.0,171.0,17.9,5.7,0.6,71.0
2024,7,Jinshan,19.0,62.0,167.0,14.4,6.4,0.6,77.4
2024,7,Minhang,19.0,60.0,170.0,19.0,4.5,0.6,74.2
2024,7,Pudong,20.0,63.0,176.0,20.9,5.5,0.7,77.4
2024,7,Putuo,17.0,61.0,162.0,20.1,6.3,0.5,83.9
2024,7,Qingpu,21.0,63.0,162.0,21.3,5.4,0.6,87.1
2024,7,Songjiang,20.0,64.0,168.0,17.1,4.3,0.8,77.4
2024,7,Xuhui,19.0,60.0,160.0,24.6,5.3,0.6,90.3
2024,7,Yangpu,18.0,61.0,178.0,19.6,6.5,0.8,71.0
2024,6,Baoshan,20.0,68.0,144.0,23.7,4.0,0.6,90.0
2024,6,Changning,18.0,69.0,162.0,26.2,5.2,0.7,90.0
2024,6,Chongming,18.0,69.0,146.0,14.8,4.8,0.5,90.0
2024,6,Fengxian,19.0,69.0,146.0,19.3,4.7,0.5,93.3
2024,6,Hongkou,20.0,68.0,136.0,21.8,6.6,0.7,90.0
2024,6,Huangpu,21.0,69.0,148.0,22.9,4.6,0.7,90.0
2024,6,Jiading,24.0,72.0,165.0,31.2,5.1,0.6,86.7
2024,6,Jing'an,21.0,68.0,154.0,22.1,4.8,0.6,90.0
2024,6,Jinshan,20.0,72.0,155.0,18.5,5.4,0.6,90.0
2024,6,Minhang,21.0,69.0,161.0,23.7,4.0,0.6,90.0
2024,6,Pudong,21.0,72.0,140.0,24.5,5.5,0.8,90.0
2024,6,Putuo,20.0,71.0,158.0,24.2,4.7,0.5,90.0
2024,6,Qingpu,23.0,72.0,179.0,23.6,4.9,0.6,80.0
2024,6,Songjiang,23.0,72.0,175.0,22.0,5.1,0.7,80.0
2024,6,Xuhui,21.0,71.0,149.0,28.7,4.2,0.6,90.0
2024,6,Yangpu,19.0,68.0,143.0,24.5,5.9,0.9,90.0
2024,5,Baoshan,22.0,71.0,159.0,23.4,4.9,0.7,90.3
2024,5,Changning,21.0,71.0,156.0,26.5,6.2,0.8,90.3
2024,5,Chongming,18.0,71.0,168.0,12.4,5.2,0.6,83.9
2024,5,Fengxian,21.0,76.0,150.0,17.7,4.9,0.6,96.8
2024,5,Hongkou,21.0,73.0,155.0,20.5,7.2,0.7,93.5
2024,5,Huangpu,22.0,72.0,163.0,21.0,5.1,0.7,87.1
2024,5,Jiading,23.0,77.0,152.0,30.1,6.6,0.8,90.3
2024,5,Jing'an,22.0,72.0,163.0,20.3,5.3,0.6,87.1
2024,5,Jinshan,22.0,77.0,156.0,20.1,5.8,0.7,93.5
2024,5,Minhang,21.0,72.0,155.0,23.4,4.9,0.7,93.5
2024,5,Pudong,21.0,74.0,147.0,23.8,6.0,0.8,93.5
2024,5,Putuo,22.0,72.0,154.0,23.8,6.0,0.7,90.3
2024,5,Qingpu,23.0,71.0,161.0,25.4,5.3,0.7,87.1
2024,5,Songjiang,23.0,77.0,162.0,24.4,4.7,0.7,87.1
2024,5,Xuhui,22.0,73.0,153.0,27.9,4.8,0.7,93.5
2024,5,Yangpu,21.0,72.0,155.0,24.7,6.2,0.8,93.5
2024,4,Baoshan,27.0,93.0,126.0,31.7,4.2,0.7,96.7
2024,4,Changning,27.0,93.0,134.0,34.5,5.6,0.8,96.7
2024,4,Chongming,22.0,86.0,137.0,13.9,4.6,0.5,96.7
2024,4,Fengxian,28.0,97.0,128.0,23.3,4.4,0.6,96.7
2024,4,Hongkou,29.0,91.0,130.0,31.4,6.7,0.7,96.7
2024,4,Huangpu,27.0,92.0,135.0,30.2,5.7,0.7,96.7
2024,4,Jiading,29.0,97.0,133.0,30.1,6.6,0.8,96.7
2024,4,Jing'an,28.0,90.0,133.0,29.9,5.2,0.7,96.7
2024,4,Jinshan,28.0,93.0,139.0,23.9,5.3,0.7,93.3
2024,4,Minhang,27.0,93.0,133.0,31.7,4.2,0.7,96.7
2024,4,Pudong,26.0,92.0,136.0,30.0,5.6,0.8,96.7
2024,4,Putuo,27.0,88.0,132.0,31.6,5.3,0.7,96.7
2024,4,Qingpu,29.0,91.0,137.0,33.1,5.6,0.6,96.7
2024,4,Songjiang,29.0,100.0,137.0,30.5,4.5,0.7,96.7
2024,4,Xuhui,28.0,93.0,125.0,37.2,4.5,0.7,96.7
2024,4,Yangpu,27.0,90.0,134.0,34.9,6.2,0.7,96.7
2024,3,Baoshan,38.0,110.0,130.0,43.5,5.7,0.8,93.5
2024,3,Changning,37.0,104.0,132.0,44.8,6.2,1.0,100.0
2024,3,Chongming,33.0,106.0,136.0,23.1,5.2,0.6,96.8
2024,3,Fengxian,36.0,107.0,124.0,30.5,5.0,0.7,93.5
2024,3,Hongkou,39.0,106.0,136.0,40.2,6.9,1.0,96.8
2024,3,Huangpu,38.0,107.0,137.0,39.5,6.1,1.0,100.0
2024,3,Jiading,40.0,112.0,127.0,45.0,6.2,0.8,93.5
2024,3,Jing'an,38.0,105.0,137.0,40.5,5.8,0.8,100.0
2024,3,Jinshan,40.0,116.0,131.0,33.7,5.8,0.8,93.5
2024,3,Minhang,38.0,107.0,140.0,43.5,5.7,0.8,93.5
2024,3,Pudong,37.0,109.0,137.0,38.8,6.1,1.0,93.5
2024,3,Putuo,38.0,105.0,130.0,41.9,6.0,0.9,100.0
2024,3,Qingpu,40.0,105.0,133.0,43.2,6.5,0.8,93.5
2024,3,Songjiang,41.0,118.0,135.0,40.3,4.6,0.8,93.5
2024,3,Xuhui,38.0,106.0,126.0,48.5,5.4,0.8,93.5
2024,3,Yangpu,39.0,106.0,141.0,42.4,6.9,0.9,96.8
2024,2,Baoshan,44.0,107.0,112.0,27.3,5.2,1.2,89.7
2024,2,Changning,38.0,105.0,106.0,28.8,5.8,1.0,93.1
2024,2,Chongming,40.0,113.0,118.0,15.3,4.9,0.9,89.7
2024,2,Fengxian,40.0,112.0,103.0,22.9,5.2,0.9,89.7
2024,2,Hongkou,37.0,107.0,107.0,26.0,5.7,1.0,89.7
2024,2,Huangpu,37.0,103.0,109.0,24.0,5.7,1.0,89.7
2024,2,Jiading,44.0,108.0,111.0,23.9,6.4,0.9,89.7
2024,2,Jing'an,38.0,108.0,110.0,24.7,5.2,0.9,93.1
2024,2,Jinshan,42.0,109.0,109.0,21.7,5.8,0.9,93.1
2024,2,Minhang,43.0,111.0,108.0,27.3,5.2,1.2,89.7
2024,2,Pudong,41.0,113.0,108.0,26.2,6.2,1.1,89.7
2024,2,Putuo,42.0,115.0,111.0,27.2,5.9,1.0,89.7
2024,2,Qingpu,42.0,115.0,112.0,24.3,5.7,1.0,93.1
2024,2,Songjiang,44.0,113.0,107.0,23.3,5.4,0.9,89.7
2024,2,Xuhui,39.0,104.0,107.0,28.5,5.6,1.0,93.1
2024,2,Yangpu,35.0,103.0,114.0,26.6,5.6,1.1,89.7
2024,1,Baoshan,59.0,144.0,79.0,55.3,6.4,1.1,58.1
2024,1,Changning,59.0,137.0,89.0,58.1,6.9,1.4,58.1
2024,1,Chongming,55.0,136.0,102.0,26.2,5.5,1.0,67.7
2024,1,Fengxian,59.0,146.0,93.0,45.8,6.6,1.0,67.7
2024,1,Hongkou,58.0,150.0,78.0,55.5,7.6,1.3,58.1
2024,1,Huangpu,58.0,151.0,86.0,51.6,7.3,1.2,58.1
2024,1,Jiading,61.0,146.0,79.0,54.3,7.9,1.2,58.1
2024,1,Jing'an,59.0,146.0,87.0,51.9,6.5,1.2,54.8
2024,1,Jinshan,59.0,135.0,89.0,44.3,6.5,1.0,71.0
2024,1,Minhang,58.0,144.0,89.0,55.3,6.4,1.1,61.3
2024,1,Pudong,57.0,155.0,91.0,53.0,7.0,1.2,61.3
2024,1,Putuo,58.0,147.0,90.0,54.3,6.9,1.4,58.1
2024,1,Qingpu,60.0,162.0,87.0,52.2,6.4,1.2,64.5
2024,1,Songjiang,64.0,156.0,91.0,50.1,5.7,1.2,64.5
2024,1,Xuhui,60.0,146.0,86.0,58.2,6.3,1.3,58.1
2024,1,Yangpu,57.0,148.0,86.0,54.1,6.7,1.2,61.3
2023,12,Baoshan,51.0,135.0,72.0,54.6,6.3,1.1,71.0
